Species,Name,Current,RCP2.6,RCP2.6CSH,Type1,RCP6.0,RCP6.0CSH,Type2,RCP8.5,RCP8.5CSH,Type3
sp1148,Buxus henryi,507,167,-0.67,EN,66,-0.87,CE,123,-0.76,EN
sp1149,Buxus ichangensis,59,3,-0.95,CE,0,-1,EX,5,-0.92,CE
sp1150,Buxus latistyla,192,856,3.46,LR,1537,7.01,LR,2951,14.37,LR
sp1151,Buxus linearifolia,29,39,0.34,LR,128,3.41,LR,89,2.07,LR
sp1152,Buxus megistophylla,1489,1942,0.3,LR,1584,0.06,LR,1471,-0.01,LR
sp1153,Buxus mollicula,108,153,0.42,LR,192,0.78,LR,188,0.74,LR
sp1154,Buxus mollicula var. glabra,49,17,-0.65,EN,33,-0.33,VU,14,-0.71,EN
sp1155,Buxus myrica,2688,3281,0.22,LR,3416,0.27,LR,3220,0.2,LR
sp1156,Buxus myrica var. angustifolia,371,265,-0.29,LR,447,0.2,LR,754,1.03,LR
sp1157,Buxus rugulosa,1354,2764,1.04,LR,2747,1.03,LR,2671,0.97,LR
sp1158,Buxus rugulosa var. prostrata,452,1650,2.65,LR,1857,3.11,LR,778,0.72,LR
sp1159,Buxus rugulosa var. rupicola,144,1181,7.2,LR,1275,7.85,LR,1583,9.99,LR
sp1160,Buxus sinica,3499,2667,-0.24,LR,2050,-0.41,VU,1112,-0.68,EN
sp1161,Buxus sinica var. aemulans,1335,2169,0.62,LR,2226,0.67,LR,1795,0.34,LR
sp1162,Buxus sinica var. intermedia,23,0,-1,EX,0,-1,EX,0,-1,EX
sp1163,Buxus sinica var. parvifolia,151,153,0.01,LR,131,-0.13,LR,103,-0.32,VU
sp1164,Buxus stenophylla,1967,2937,0.49,LR,2698,0.37,LR,2644,0.34,LR
sp1165,Byttneria grandifolia,1406,2009,0.43,LR,2329,0.66,LR,2986,1.12,LR
sp1166,Byttneria integrifolia,191,490,1.57,LR,497,1.6,LR,272,0.42,LR
sp1167,Byttneria pilosa,295,676,1.29,LR,722,1.45,LR,447,0.52,LR
sp1168,Caesalpinia bonduc,2710,2867,0.06,LR,3032,0.12,LR,3620,0.34,LR
sp1169,Caesalpinia caesia,57,5,-0.91,CE,30,-0.47,VU,44,-0.23,LR
sp1170,Caesalpinia cucullata,312,739,1.37,LR,705,1.26,LR,499,0.6,LR
sp1171,Caesalpinia decapetala,4664,4371,-0.06,LR,4480,-0.04,LR,5025,0.08,LR
sp1172,Caesalpinia enneaphylla,309,681,1.2,LR,847,1.74,LR,1162,2.76,LR
sp1173,Caesalpinia magnifoliolata,773,266,-0.66,EN,709,-0.08,LR,908,0.17,LR
sp1174,Caesalpinia millettii,1429,1758,0.23,LR,1579,0.1,LR,2835,0.98,LR
sp1175,Caesalpinia mimosoides,254,680,1.68,LR,671,1.64,LR,824,2.24,LR
sp1176,Caesalpinia minax,2319,2094,-0.1,LR,2397,0.03,LR,2545,0.1,LR
sp1177,Caesalpinia pulcherrima,111,279,1.51,LR,419,2.77,LR,780,6.03,LR
sp1178,Caesalpinia sappan,1957,3129,0.6,LR,3413,0.74,LR,3543,0.81,LR
sp1179,Caesalpinia sinensis,1362,1975,0.45,LR,2773,1.04,LR,4153,2.05,LR
sp1180,Caesalpinia tortuosa,68,243,2.57,LR,244,2.59,LR,185,1.72,LR
sp1181,Caesalpinia vernalis,734,1278,0.74,LR,1001,0.36,LR,515,-0.3,VU
sp1182,Cajanus cajan,2345,4273,0.82,LR,5320,1.27,LR,5175,1.21,LR
sp1183,Cajanus crassus,103,24,-0.77,EN,59,-0.43,VU,480,3.66,LR
sp1184,Cajanus grandiflorus,85,21,-0.75,EN,41,-0.52,EN,229,1.69,LR
sp1185,Calamus balansaeanus,477,190,-0.6,EN,385,-0.19,LR,990,1.08,LR
sp1186,Calamus balansaeanus var. castaneolepis,84,46,-0.45,VU,151,0.8,LR,190,1.26,LR
sp1187,Calamus bonianus,179,302,0.69,LR,322,0.8,LR,656,2.66,LR
sp1188,Calamus egregius,50,23,-0.54,EN,36,-0.28,LR,55,0.1,LR
sp1189,Calamus faberi,54,49,-0.09,LR,98,0.81,LR,101,0.87,LR
sp1190,Calamus feanus var. medogensis,127,852,5.71,LR,897,6.06,LR,28,-0.78,EN
sp1191,Calamus flagellum,86,362,3.21,LR,467,4.43,LR,80,-0.07,LR
sp1192,Calamus formosanus,68,121,0.78,LR,141,1.07,LR,105,0.54,LR
sp1193,Calamus gracilis,54,27,-0.5,EN,30,-0.44,VU,116,1.15,LR
sp1194,Calamus henryanus,213,494,1.32,LR,501,1.35,LR,320,0.5,LR
sp1195,Calamus hoplites,1500,2302,0.53,LR,1912,0.27,LR,1740,0.16,LR
sp1196,Calamus karinensis,43,110,1.56,LR,108,1.51,LR,20,-0.53,EN
sp1197,Calamus melanochrous,34,0,-1,EX,7,-0.79,EN,2,-0.94,CE
sp1198,Calamus nambariensis,67,212,2.16,LR,186,1.78,LR,150,1.24,LR
sp1199,Calamus palustris,56,39,-0.3,VU,15,-0.73,EN,137,1.45,LR
sp1200,Calamus rhabdocladus,218,623,1.86,LR,685,2.14,LR,758,2.48,LR
sp1201,Calamus simplicifolius,74,245,2.31,LR,328,3.43,LR,687,8.28,LR
sp1202,Calamus tetradactyloides,25,8,-0.68,EN,14,-0.44,VU,30,0.2,LR
sp1203,Calamus tetradactylus,999,1244,0.25,LR,1386,0.39,LR,2445,1.45,LR
sp1204,Calamus thysanolepis,591,893,0.51,LR,756,0.28,LR,342,-0.42,VU
sp1205,Calamus wailong,43,112,1.6,LR,90,1.09,LR,20,-0.53,EN
sp1206,Calamus walkeri,162,334,1.06,LR,360,1.22,LR,228,0.41,LR
sp1207,Calamus yunnanensis,541,3305,5.11,LR,3528,5.52,LR,2224,3.11,LR
sp1208,Callerya bonatiana,356,575,0.62,LR,609,0.71,LR,325,-0.09,LR
sp1209,Callerya championii,1078,1404,0.3,LR,1501,0.39,LR,1633,0.51,LR
sp1210,Callerya cinerea,320,1151,2.6,LR,1156,2.61,LR,383,0.2,LR
sp1211,Callerya congestiflora,1866,2280,0.22,LR,1722,-0.08,LR,1807,-0.03,LR
sp1212,Callerya dielsiana,1494,2152,0.44,LR,2150,0.44,LR,2093,0.4,LR
sp1213,Callerya dielsiana var. herterocarpa,1592,2452,0.54,LR,2269,0.43,LR,2528,0.59,LR
sp1214,Callerya dorwardii,744,796,0.07,LR,753,0.01,LR,694,-0.07,LR
sp1215,Callerya eurybotrya,1263,3411,1.7,LR,4206,2.33,LR,4759,2.77,LR
sp1216,Callerya fordii,537,179,-0.67,EN,308,-0.43,VU,91,-0.83,CE
sp1217,Callerya kiangsiensis,624,512,-0.18,LR,286,-0.54,EN,226,-0.64,EN
sp1218,Callerya nitida,1876,1324,-0.29,LR,764,-0.59,EN,576,-0.69,EN
sp1219,Callerya nitida var. hirsutissima,177,596,2.37,LR,323,0.82,LR,349,0.97,LR
sp1220,Callerya nitida var. minor,397,231,-0.42,VU,53,-0.87,CE,52,-0.87,CE
sp1221,Callerya oosperma,1227,701,-0.43,VU,703,-0.43,VU,1517,0.24,LR
sp1222,Callerya reticulata,3653,4337,0.19,LR,4136,0.13,LR,4405,0.21,LR
sp1223,Callerya reticulata var. stenophylla,579,1142,0.97,LR,1355,1.34,LR,1707,1.95,LR
sp1224,Callerya sericosema,1019,608,-0.4,VU,346,-0.66,EN,246,-0.76,EN
sp1225,Callerya speciosa,1099,2039,0.86,LR,2137,0.94,LR,2585,1.35,LR
sp1226,Callerya sphaerosperma,67,0,-1,EX,0,-1,EX,22,-0.67,EN
sp1227,Callerya tsui,1446,1877,0.3,LR,2329,0.61,LR,4115,1.85,LR
sp1228,Callicarpa acutifolia,68,130,0.91,LR,136,1,LR,163,1.4,LR
sp1229,Callicarpa anisophylla,49,1,-0.98,CE,0,-1,EX,0,-1,EX
sp1230,Callicarpa arborea,1115,2042,0.83,LR,2074,0.86,LR,1310,0.17,LR
sp1231,Callicarpa basitruncata,55,36,-0.35,VU,49,-0.11,LR,111,1.02,LR
sp1232,Callicarpa bodinieri,4797,4352,-0.09,LR,3515,-0.27,LR,2543,-0.47,VU
sp1233,Callicarpa bodinieri var. iteophylla,374,1063,1.84,LR,1208,2.23,LR,1004,1.68,LR
sp1234,Callicarpa bodinieri var. rosthornii,381,994,1.61,LR,1456,2.82,LR,1391,2.65,LR
sp1235,Callicarpa brevipes,2103,2333,0.11,LR,2290,0.09,LR,2087,-0.01,LR
sp1236,Callicarpa brevipes var. obovata,342,422,0.23,LR,387,0.13,LR,439,0.28,LR
sp1237,Callicarpa candicans,1324,1933,0.46,LR,2323,0.75,LR,2947,1.23,LR
sp1238,Callicarpa cathayana,2618,3068,0.17,LR,2347,-0.1,LR,1645,-0.37,VU
sp1239,Callicarpa collina,650,961,0.48,LR,696,0.07,LR,608,-0.06,LR
sp1240,Callicarpa dentosa,558,725,0.3,LR,454,-0.19,LR,695,0.25,LR
sp1241,Callicarpa dichotoma,3990,4521,0.13,LR,4267,0.07,LR,3857,-0.03,LR
sp1242,Callicarpa erythrosticta,296,802,1.71,LR,1144,2.86,LR,1733,4.85,LR
sp1243,Callicarpa formosana,2480,3030,0.22,LR,2777,0.12,LR,2333,-0.06,LR
sp1244,Callicarpa giraldii,4653,4755,0.02,LR,4471,-0.04,LR,3744,-0.2,LR
sp1245,Callicarpa giraldii var. subcanescens,2235,3140,0.4,LR,2570,0.15,LR,1911,-0.14,LR
sp1246,Callicarpa gracilipes,120,128,0.07,LR,62,-0.48,VU,78,-0.35,VU
sp1247,Callicarpa integerrima,2210,2639,0.19,LR,2592,0.17,LR,1952,-0.12,LR
sp1248,Callicarpa integerrima var. chinensis,191,92,-0.52,EN,54,-0.72,EN,12,-0.94,CE
sp1249,Callicarpa japonica,2871,1970,-0.31,VU,1404,-0.51,EN,1446,-0.5,EN
sp1250,Callicarpa japonica var. luxurians,27,0,-1,EX,0,-1,EX,0,-1,EX
sp1251,Callicarpa kochiana,2152,2984,0.39,LR,2898,0.35,LR,2695,0.25,LR
sp1252,Callicarpa kwangtungensis,2346,2017,-0.14,LR,1793,-0.24,LR,1907,-0.19,LR
sp1253,Callicarpa lingii,595,1098,0.85,LR,696,0.17,LR,407,-0.32,VU
sp1254,Callicarpa loboapiculata,1805,1936,0.07,LR,1887,0.05,LR,1766,-0.02,LR
sp1255,Callicarpa longifolia,1327,1102,-0.17,LR,789,-0.41,VU,1117,-0.16,LR
sp1256,Callicarpa longifolia var. floccosa,133,5,-0.96,CE,1,-0.99,CE,165,0.24,LR
sp1257,Callicarpa longifolia var. lanceolaria,180,224,0.24,LR,310,0.72,LR,409,1.27,LR
sp1258,Callicarpa longipes,1463,1946,0.33,LR,1541,0.05,LR,1986,0.36,LR
sp1259,Callicarpa longissima,2302,2672,0.16,LR,2572,0.12,LR,3676,0.6,LR
sp1260,Callicarpa luteopunctata,263,650,1.47,LR,643,1.44,LR,1116,3.24,LR
sp1261,Callicarpa macrophylla,2231,1712,-0.23,LR,1967,-0.12,LR,2730,0.22,LR
sp1262,Callicarpa membranacea,2901,3241,0.12,LR,2867,-0.01,LR,2508,-0.14,LR
sp1263,Callicarpa nudiflora,819,534,-0.35,VU,481,-0.41,VU,664,-0.19,LR
sp1264,Callicarpa pauciflora,246,115,-0.53,EN,104,-0.58,EN,162,-0.34,VU
sp1265,Callicarpa peichieniana,1743,1910,0.1,LR,1789,0.03,LR,1195,-0.31,VU
sp1266,Callicarpa pilosissima,59,127,1.15,LR,106,0.8,LR,108,0.83,LR
sp1267,Callicarpa prolifera,113,54,-0.52,EN,94,-0.17,LR,493,3.36,LR
sp1268,Callicarpa randaiensis,31,32,0.03,LR,32,0.03,LR,27,-0.13,LR
sp1269,Callicarpa rubella,4283,4983,0.16,LR,4935,0.15,LR,4575,0.07,LR
sp1270,Callicarpa rubella var. subglabra,1790,2019,0.13,LR,1954,0.09,LR,1370,-0.23,LR
sp1271,Callicarpa salicifolia,48,194,3.04,LR,171,2.56,LR,74,0.54,LR
sp1272,Callicarpa tingwuensis,48,63,0.31,LR,2,-0.96,CE,1,-0.98,CE
sp1273,Calligonum alashanicum,795,1156,0.45,LR,1393,0.75,LR,1645,1.07,LR
sp1274,Calligonum arborescens,64,528,7.25,LR,1594,23.91,LR,5128,79.13,LR
sp1275,Calligonum calliphysa,928,2417,1.6,LR,3937,3.24,LR,6741,6.26,LR
sp1276,Calligonum caput-medusae,195,1412,6.24,LR,3011,14.44,LR,6271,31.16,LR
sp1277,Calligonum chinense,1742,1668,-0.04,LR,1485,-0.15,LR,1249,-0.28,LR
sp1278,Calligonum colubrinum,171,278,0.63,LR,351,1.05,LR,533,2.12,LR
sp1279,Calligonum ebinuricum,314,2078,5.62,LR,3781,11.04,LR,6581,19.96,LR
sp1280,Calligonum gobicum,1566,982,-0.37,VU,339,-0.78,EN,344,-0.78,EN
sp1281,Calligonum klementzii,82,81,-0.01,LR,200,1.44,LR,284,2.46,LR
sp1282,Calligonum korlaense,88,80,-0.09,LR,135,0.53,LR,155,0.76,LR
sp1283,Calligonum leucocladum,896,1361,0.52,LR,1507,0.68,LR,1651,0.84,LR
sp1284,Calligonum mongolicum,2730,2164,-0.21,LR,1605,-0.41,VU,1229,-0.55,EN
sp1285,Calligonum pumilum,1935,2915,0.51,LR,2953,0.53,LR,3193,0.65,LR
sp1286,Calligonum roborowskii,1948,3278,0.68,LR,3330,0.71,LR,3021,0.55,LR
sp1287,Calligonum rubicundum,558,716,0.28,LR,967,0.73,LR,859,0.54,LR
sp1288,Calligonum squarrosum,60,92,0.53,LR,121,1.02,LR,191,2.18,LR
sp1289,Calligonum yengisaricum,124,1033,7.33,LR,1349,9.88,LR,1529,11.33,LR
sp1290,Calligonum zaidamense,465,318,-0.32,VU,304,-0.35,VU,343,-0.26,LR
sp1291,Calocedrus macrolepis,1059,1398,0.32,LR,1297,0.22,LR,1046,-0.01,LR
sp1292,Calocedrus macrolepis var. formosana,134,1296,8.67,LR,1290,8.63,LR,594,3.43,LR
sp1293,Calophaca chinensis,76,313,3.12,LR,176,1.32,LR,178,1.34,LR
sp1294,Calophaca sinica,305,390,0.28,LR,438,0.44,LR,268,-0.12,LR
sp1295,Calophaca soongorica,57,3,-0.95,CE,4,-0.93,CE,31,-0.46,VU
sp1296,Calophanoides kwangsiensis,175,135,-0.23,LR,341,0.95,LR,474,1.71,LR
sp1297,Calophanoides siccanea,122,315,1.58,LR,306,1.51,LR,267,1.19,LR
sp1298,Calophanoides xylopoda,62,56,-0.1,LR,74,0.19,LR,51,-0.18,LR
sp1299,Calophyllum inophyllum,171,589,2.44,LR,821,3.8,LR,1033,5.04,LR
sp1300,Calophyllum membranaceum,945,466,-0.51,EN,409,-0.57,EN,748,-0.21,LR
sp1301,Calophyllum polyanthum,177,461,1.6,LR,462,1.61,LR,254,0.44,LR
sp1302,Calotropis gigantea,1551,3239,1.09,LR,3735,1.41,LR,3639,1.35,LR
sp1303,Camellia anlungensis,372,465,0.25,LR,568,0.53,LR,772,1.08,LR
sp1304,Camellia assimiloides,320,354,0.11,LR,97,-0.7,EN,158,-0.51,EN
sp1305,Camellia brevistyla,2201,3076,0.4,LR,2838,0.29,LR,2422,0.1,LR
sp1306,Camellia caudata,1506,2052,0.36,LR,1822,0.21,LR,1294,-0.14,LR
sp1307,Camellia chekiangoleosa,1640,2434,0.48,LR,1908,0.16,LR,923,-0.44,VU
sp1308,Camellia cordifolia,1587,408,-0.74,EN,265,-0.83,CE,1438,-0.09,LR
sp1309,Camellia costata,500,103,-0.79,EN,51,-0.9,CE,598,0.2,LR
sp1310,Camellia costei,2092,990,-0.53,EN,566,-0.73,EN,1084,-0.48,VU
sp1311,Camellia crapnelliana,1367,2157,0.58,LR,2010,0.47,LR,1759,0.29,LR
sp1312,Camellia crassicolumna,47,17,-0.64,EN,25,-0.47,VU,87,0.85,LR
sp1313,Camellia cuspidata,2663,2886,0.08,LR,2146,-0.19,LR,1443,-0.46,VU
sp1314,Camellia cuspidata var. chekiangensis,1038,966,-0.07,LR,998,-0.04,LR,415,-0.6,EN
sp1315,Camellia cuspidata var. grandiflora,173,215,0.24,LR,43,-0.75,EN,110,-0.36,VU
sp1316,Camellia cuspidata var. trichandra,32,17,-0.47,VU,8,-0.75,EN,27,-0.16,LR
sp1317,Camellia edithae,497,1026,1.06,LR,802,0.61,LR,536,0.08,LR
sp1318,Camellia euryoides,1382,1938,0.4,LR,1361,-0.02,LR,1312,-0.05,LR
sp1319,Camellia euryoides var. nokoensis,1029,645,-0.37,VU,285,-0.72,EN,353,-0.66,EN
sp1320,Camellia fluviatilis,579,428,-0.26,LR,498,-0.14,LR,1077,0.86,LR
sp1321,Camellia forrestii,631,847,0.34,LR,904,0.43,LR,717,0.14,LR
sp1322,Camellia forrestii var. acutisepala,141,201,0.43,LR,230,0.63,LR,59,-0.58,EN
sp1323,Camellia fraterna,1550,1953,0.26,LR,1423,-0.08,LR,606,-0.61,EN
sp1324,Camellia furfuracea,1439,2117,0.47,LR,2012,0.4,LR,1923,0.34,LR
sp1325,Camellia granthamiana,24,1,-0.96,CE,0,-1,EX,1,-0.96,CE
sp1326,Camellia grijsii,1684,2256,0.34,LR,2418,0.44,LR,1800,0.07,LR
sp1327,Camellia grijsii var. shensiensis,28,27,-0.04,LR,18,-0.36,VU,2,-0.93,CE
sp1328,Camellia gymnogyna,347,309,-0.11,LR,223,-0.36,VU,256,-0.26,LR
sp1329,Camellia hongkongensis,213,83,-0.61,EN,66,-0.69,EN,14,-0.93,CE
sp1330,Camellia huana,69,7,-0.9,CE,1,-0.99,CE,216,2.13,LR
sp1331,Camellia indochinensis,340,319,-0.06,LR,582,0.71,LR,1060,2.12,LR
sp1332,Camellia japonica,2534,3498,0.38,LR,2841,0.12,LR,2129,-0.16,LR
sp1333,Camellia kissii,1322,1184,-0.1,LR,1291,-0.02,LR,1301,-0.02,LR
sp1334,Camellia kissii var. confusa,237,572,1.41,LR,743,2.14,LR,672,1.84,LR
sp1335,Camellia lawii,223,272,0.22,LR,359,0.61,LR,272,0.22,LR
sp1336,Camellia longicalyx,32,114,2.56,LR,66,1.06,LR,151,3.72,LR
sp1337,Camellia lutchuensis,61,115,0.89,LR,108,0.77,LR,105,0.72,LR
sp1338,Camellia mairei,1697,289,-0.83,CE,290,-0.83,CE,1292,-0.24,LR
sp1339,Camellia mairei var. lapidea,406,23,-0.94,CE,83,-0.8,CE,115,-0.72,EN
sp1340,Camellia mairei var. velutina,1080,1474,0.36,LR,1263,0.17,LR,1161,0.08,LR
sp1341,Camellia oleifera,4075,3395,-0.17,LR,2819,-0.31,VU,1897,-0.53,EN
sp1342,Camellia parviflora,55,36,-0.35,VU,49,-0.11,LR,111,1.02,LR
sp1343,Camellia parvimuricata,427,201,-0.53,EN,84,-0.8,CE,95,-0.78,EN
sp1344,Camellia petelotii,139,43,-0.69,EN,84,-0.4,VU,345,1.48,LR
sp1345,Camellia pitardii,2213,1248,-0.44,VU,1236,-0.44,VU,1772,-0.2,LR
sp1346,Camellia polyodonta,750,1794,1.39,LR,1609,1.15,LR,1038,0.38,LR
sp1347,Camellia polyodonta var. longicaudata,105,1,-0.99,CE,41,-0.61,EN,3,-0.97,CE
sp1348,Camellia ptilophylla,242,183,-0.24,LR,114,-0.53,EN,44,-0.82,CE
sp1349,Camellia reticulata,1700,1819,0.07,LR,1865,0.1,LR,1679,-0.01,LR
sp1350,Camellia rhytidocarpa,692,572,-0.17,LR,552,-0.2,LR,415,-0.4,VU
sp1351,Camellia rhytidocarpa var. microphylla,132,42,-0.68,EN,4,-0.97,CE,27,-0.8,CE
sp1352,Camellia rosthorniana,941,533,-0.43,VU,353,-0.62,EN,213,-0.77,EN
sp1353,Camellia salicifolia,1446,1665,0.15,LR,1517,0.05,LR,1056,-0.27,LR
sp1354,Camellia saluenensis,938,1248,0.33,LR,1422,0.52,LR,1406,0.5,LR
sp1355,Camellia semiserrata,1018,1512,0.49,LR,1381,0.36,LR,913,-0.1,LR
sp1356,Camellia semiserrata var. magnocarpa,87,43,-0.51,EN,33,-0.62,EN,49,-0.44,VU
sp1357,Camellia sinensis,3353,4478,0.34,LR,4190,0.25,LR,2570,-0.23,LR
sp1358,Camellia sinensis var. assamica,1113,1353,0.22,LR,1133,0.02,LR,1001,-0.1,LR
sp1359,Camellia sinensis var. dehungensis,115,453,2.94,LR,422,2.67,LR,292,1.54,LR
sp1360,Camellia sinensis var. pubilimba,632,468,-0.26,LR,449,-0.29,LR,622,-0.02,LR
sp1361,Camellia stuartiana,55,15,-0.73,EN,9,-0.84,CE,120,1.18,LR
sp1362,Camellia subintegra,255,123,-0.52,EN,7,-0.97,CE,14,-0.95,CE
sp1363,Camellia synaptica,984,1504,0.53,LR,1782,0.81,LR,1674,0.7,LR
sp1364,Camellia szemaoensis,42,278,5.62,LR,292,5.95,LR,36,-0.14,LR
sp1365,Camellia tachangensis,216,62,-0.71,EN,57,-0.74,EN,254,0.18,LR
sp1366,Camellia taliensis,726,981,0.35,LR,996,0.37,LR,979,0.35,LR
sp1367,Camellia transarisanensis,311,94,-0.7,EN,91,-0.71,EN,337,0.08,LR
sp1368,Camellia trichoclada,135,215,0.59,LR,164,0.21,LR,64,-0.53,EN
sp1369,Camellia tsaii,200,437,1.19,LR,421,1.11,LR,411,1.06,LR
sp1370,Camellia tsingpienensis,235,4,-0.98,CE,1,-1,EX,133,-0.43,VU
sp1371,Camellia tsingpienensis var. pubisepala,84,1,-0.99,CE,0,-1,EX,50,-0.4,VU
sp1372,Camellia tuberculata,347,303,-0.13,LR,440,0.27,LR,391,0.13,LR
sp1373,Camellia viridicalyx,86,3,-0.97,CE,3,-0.97,CE,8,-0.91,CE
sp1374,Camellia wardii,91,160,0.76,LR,121,0.33,LR,222,1.44,LR
sp1375,Camellia wardii var. muricatula,28,3,-0.89,CE,1,-0.96,CE,133,3.75,LR
sp1376,Camellia yunnanensis,1212,2008,0.66,LR,2157,0.78,LR,2104,0.74,LR
sp1377,Camellia yunnanensis var. camellioides,623,786,0.26,LR,831,0.33,LR,783,0.26,LR
sp1378,Campsis grandiflora,3767,4400,0.17,LR,4394,0.17,LR,4699,0.25,LR
sp1379,Camptotheca acuminata,3680,4257,0.16,LR,3617,-0.02,LR,3773,0.03,LR
sp1380,Campylospermum striatum,42,3,-0.93,CE,12,-0.71,EN,1,-0.98,CE
sp1381,Campylotropis argentea,97,61,-0.37,VU,66,-0.32,VU,256,1.64,LR
sp1382,Campylotropis brevifolia,74,252,2.41,LR,312,3.22,LR,541,6.31,LR
sp1383,Campylotropis capillipes,732,937,0.28,LR,1361,0.86,LR,1876,1.56,LR
sp1384,Campylotropis capillipes ssp. prainii,1034,2212,1.14,LR,2289,1.21,LR,2269,1.19,LR
sp1385,Campylotropis cytisoides f. parviflora,403,639,0.59,LR,645,0.6,LR,329,-0.18,LR
sp1386,Campylotropis delavayi,1500,2611,0.74,LR,2769,0.85,LR,2740,0.83,LR
sp1387,Campylotropis diversifolia,171,29,-0.83,CE,40,-0.77,EN,412,1.41,LR
sp1388,Campylotropis harmsii,557,853,0.53,LR,716,0.29,LR,595,0.07,LR
sp1389,Campylotropis henryi,978,897,-0.08,LR,1115,0.14,LR,1468,0.5,LR
sp1390,Campylotropis hirtella,1504,1894,0.26,LR,1853,0.23,LR,1825,0.21,LR
sp1391,Campylotropis latifolia,499,950,0.9,LR,995,0.99,LR,1206,1.42,LR
sp1392,Campylotropis macrocarpa,5467,4486,-0.18,LR,3802,-0.3,VU,2998,-0.45,VU
sp1393,Campylotropis macrocarpa var. hupehensis,673,1441,1.14,LR,1798,1.67,LR,1676,1.49,LR
sp1394,Campylotropis pinetorum,831,1208,0.45,LR,1187,0.43,LR,1356,0.63,LR
sp1395,Campylotropis pinetorum ssp. velutina,374,113,-0.7,EN,130,-0.65,EN,1119,1.99,LR
sp1396,Campylotropis polyantha,1973,2754,0.4,LR,2955,0.5,LR,2595,0.32,LR
sp1397,Campylotropis polyantha f. leiocarpa,1282,2143,0.67,LR,2459,0.92,LR,2399,0.87,LR
sp1398,Campylotropis sulcata,198,396,1,LR,386,0.95,LR,133,-0.33,VU
sp1399,Campylotropis trigonoclada,1791,2721,0.52,LR,3162,0.77,LR,3172,0.77,LR
sp1400,Campylotropis trigonoclada var. bonatiana,781,1180,0.51,LR,1250,0.6,LR,1099,0.41,LR
sp1401,Campylotropis wilsonii,394,716,0.82,LR,813,1.06,LR,887,1.25,LR
sp1402,Campylotropis yunnanensis,1089,1684,0.55,LR,1962,0.8,LR,2422,1.22,LR
sp1403,Campylotropis yunnanensis ssp. filipes,112,902,7.05,LR,899,7.03,LR,696,5.21,LR
sp1404,Canarium bengalense,66,9,-0.86,CE,8,-0.88,CE,132,1,LR
sp1405,Canarium pimela,984,1166,0.18,LR,1204,0.22,LR,1208,0.23,LR
sp1406,Canarium strictum,103,604,4.86,LR,717,5.96,LR,446,3.33,LR
sp1407,Canarium subulatum,1642,2175,0.32,LR,2383,0.45,LR,2795,0.7,LR
sp1408,Cansjera rheedei,874,585,-0.33,VU,817,-0.07,LR,1960,1.24,LR
sp1409,Canthium dicoccum,2045,3582,0.75,LR,4004,0.96,LR,4638,1.27,LR
sp1410,Canthium horridum,1186,1832,0.54,LR,2164,0.82,LR,2287,0.93,LR
sp1411,Canthium simile,778,956,0.23,LR,960,0.23,LR,1189,0.53,LR
sp1412,Capparis acutifolia,1879,3110,0.66,LR,3083,0.64,LR,3846,1.05,LR
sp1413,Capparis assamica,344,1788,4.2,LR,1704,3.95,LR,1046,2.04,LR
sp1414,Capparis bodinieri,1384,2203,0.59,LR,2395,0.73,LR,2528,0.83,LR
sp1415,Capparis cantoniensis,1689,2005,0.19,LR,2353,0.39,LR,3187,0.89,LR
sp1416,Capparis chingiana,332,78,-0.77,EN,301,-0.09,LR,679,1.05,LR
sp1417,Capparis dasyphylla,25,11,-0.56,EN,22,-0.12,LR,49,0.96,LR
sp1418,Capparis fohaiensis,59,206,2.49,LR,196,2.32,LR,119,1.02,LR
sp1419,Capparis formosana,47,134,1.85,LR,102,1.17,LR,93,0.98,LR
sp1420,Capparis himalayensis,1672,2180,0.3,LR,2830,0.69,LR,3269,0.96,LR
sp1421,Capparis masaikai,374,223,-0.4,VU,340,-0.09,LR,1517,3.06,LR
sp1422,Capparis membranifolia,928,832,-0.1,LR,1365,0.47,LR,2305,1.48,LR
sp1423,Capparis micracantha,151,269,0.78,LR,211,0.4,LR,598,2.96,LR
sp1424,Capparis multiflora,89,89,0,LR,97,0.09,LR,312,2.51,LR
sp1425,Capparis pubiflora,483,845,0.75,LR,1034,1.14,LR,1278,1.65,LR
sp1426,Capparis pubifolia,60,45,-0.25,LR,30,-0.5,EN,347,4.78,LR
sp1427,Capparis sabiifolia,142,315,1.22,LR,421,1.96,LR,899,5.33,LR
sp1428,Capparis sepiaria,590,890,0.51,LR,1164,0.97,LR,1468,1.49,LR
sp1429,Capparis spinosa,2517,3402,0.35,LR,3471,0.38,LR,4054,0.61,LR
sp1430,Capparis subsessilis,45,68,0.51,LR,68,0.51,LR,220,3.89,LR
sp1431,Capparis urophylla,907,482,-0.47,VU,625,-0.31,VU,981,0.08,LR
sp1432,Capparis versicolor,1150,1508,0.31,LR,1759,0.53,LR,2040,0.77,LR
sp1433,Capparis viburnifolia,28,139,3.96,LR,159,4.68,LR,9,-0.68,EN
sp1434,Capparis zeylanica,425,810,0.91,LR,955,1.25,LR,1044,1.46,LR
sp1435,Capsicum annuum,1870,2371,0.27,LR,2482,0.33,LR,2535,0.36,LR
sp1436,Caragana acanthophylla,1558,2422,0.55,LR,2581,0.66,LR,3429,1.2,LR
sp1437,Caragana aegacanthoides,23,0,-1,EX,0,-1,EX,0,-1,EX
