PAcode,current_SR,future_SR,SR_dis,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
963,413,60,-353,24.88,1982,48000,10.78,9.01,2.2,1356,7.21,861.28,6.76,0.46,0.91,0.45
973,136,89,-47,24.12,1986,15786,9.67,9.82,2.28,2302,7.74,2201.14,7.7,0.36,0.54,0.18
511,139,109,-30,24.01,1999,182200,12.11,11.72,2.46,2103,7.65,1744.85,7.46,0.68,0.34,-0.34
971,337,61,-276,24.57,1981,13412,9.5,8.32,2.12,998,6.91,587.55,6.38,0.51,0.9,0.39
575,69,48,-21,23.95,1996,37000,10.52,8.36,2.12,1313,7.18,1281.99,7.16,0.39,0.38,-0.01
1143,196,40,-156,24.47,1982,29800,10.3,5.92,1.78,1633,7.4,1101.73,7,0.29,0.26,-0.03
686,204,48,-156,24.43,1987,21000,9.95,7.15,1.97,538,6.29,900.35,6.8,0.4,0.08,-0.32
1096,239,42,-197,24.46,1998,33555,10.42,8.76,2.17,1460,7.29,400.13,5.99,0.47,0.59,0.12
724,141,32,-109,24.25,1999,17827,9.79,11.35,2.43,547,6.3,266.3,5.58,0.74,0.2,-0.54
1162,398,76,-322,24.08,1982,36000,10.49,9.46,2.25,1606,7.38,549.79,6.31,0.6,0.78,0.18
979,81,75,-6,23.35,1980,50900,10.84,10.32,2.33,2232,7.71,1528.84,7.33,0.48,0.69,0.21
975,158,45,-113,23.8,1982,81900,11.31,10.08,2.31,1323,7.19,656.93,6.49,0.17,0.13,-0.04
44,121,28,-93,23.5,1989,22378,10.02,13.85,2.63,1915,7.56,1365.56,7.22,0.37,0.43,0.06
576,130,40,-90,23.62,2000,15700,9.66,14.53,2.68,794,6.68,1074.36,6.98,0.41,0.07,-0.34
122,159,62,-97,23.42,1982,27008,10.2,12.34,2.51,885,6.79,1067.15,6.97,0.31,0.07,-0.24
1161,230,13,-217,23.4,1981,25600,10.15,12.85,2.55,1466,7.29,458.585,6.13,0.02,0.43,0.41
63,141,45,-96,23.3,1998,20278,9.92,13.47,2.6,869,6.77,246.12,5.51,0.61,0.55,-0.06
985,159,92,-67,22.8,1983,65100,11.08,7.54,2.02,2111,7.65,1529.15,7.33,0.45,0.68,0.23
443,143,101,-42,22.93,1994,16200,9.69,12.53,2.53,2067,7.63,1566.09,7.36,0.61,0.54,-0.07
989,60,15,-45,22.91,1982,60100,11,9.5,2.25,457,6.12,300.74,5.71,0.06,0.12,0.06
984,120,52,-68,22.81,1986,43993,10.69,9.73,2.28,1227,7.11,486.58,6.19,0.25,0.13,-0.12
1060,44,7,-37,22.75,1982,25800,10.16,11.45,2.44,444,6.1,292.58,5.68,0.46,0.02,-0.44
46,45,12,-33,22.71,1983,60000,11,27.17,3.3,604,6.4,116.63,4.76,0.98,0.31,-0.67
991,111,96,-15,21.87,1958,247439,12.42,7.56,2.02,1357,7.21,969.34,6.88,0.8,0.69,-0.11
410,22,9,-13,22.59,1980,25578,10.15,14.46,2.67,310,5.74,143.85,4.97,0.16,0,-0.16
1098,56,22,-34,22.35,1978,10369,9.25,10.17,2.32,382,5.95,209.34,5.34,0.04,0.08,0.04
993,195,56,-139,21.91,1982,174500,12.07,9.42,2.24,1287,7.16,343.24,5.84,0.21,0.73,0.52
112,52,6,-46,21.87,2004,20000,9.9,23.56,3.16,356,5.87,33.32,3.51,0.28,0.07,-0.21
1097,15,7,-8,21.63,1986,35000,10.46,17.19,2.84,78,4.36,23.165,3.14,0.03,0.01,-0.02
470,5,6,1,20.59,1983,46865,10.76,14.01,2.64,207,5.33,62.34,4.13,0.17,0,-0.17
136,5,15,10,19.92,1983,38400,10.56,17.44,2.86,141,4.95,39.5,3.68,0.26,0.01,-0.25
49,57,23,-34,19.14,1980,29980,10.31,9.84,2.29,1329,7.19,391.82,5.97,0.57,0.4,-0.17
1000,63,31,-32,18.74,1976,20170,9.91,8.59,2.15,1046,6.95,541.87,6.3,0.54,0.76,0.22
1100,66,35,-31,18.67,1984,18389,9.82,11.85,2.47,962,6.87,156.31,5.05,0.1,0.19,0.09
182,28,5,-23,49.85,2006,26312,10.18,7.62,2.03,257,5.55,427.77,6.06,0.15,0,-0.15
183,28,5,-23,49.85,2006,46743,10.75,7.62,2.03,257,5.55,427.77,6.06,0.15,0,-0.15
193,14,1,-13,49.42,2008,21283,9.97,8.24,2.11,210,5.35,299.84,5.7,0.29,0,-0.29
194,14,1,-13,49.42,2011,21394,9.97,8.24,2.11,210,5.35,299.84,5.7,0.29,0,-0.29
206,15,12,-3,48.28,2004,62567,11.04,10.49,2.35,407,6.01,383.53,5.95,0.78,0.35,-0.43
15,5,1,-4,48.48,2007,22934,10.04,18.98,2.94,86,4.45,214.93,5.37,0.02,0,-0.02
181,5,1,-4,48.48,2010,43438,10.68,18.98,2.94,86,4.45,214.93,5.37,0.02,0,-0.02
205,15,7,-8,47.72,2006,20730,9.94,16.61,2.81,640,6.46,342.76,5.84,0.71,0.37,-0.34
169,5,1,-4,47.33,2009,22200,10.01,20.14,3,228,5.43,155.21,5.04,0.07,0,-0.07
270,19,18,-1,43.25,2004,41858,10.64,13.79,2.62,794,6.68,1261.07,7.14,0,0,0
271,19,18,-1,43.25,2004,38307,10.55,13.79,2.62,794,6.68,1261.07,7.14,0,0,0
143,23,15,-8,40.6,2001,19648,9.89,16.08,2.78,608,6.41,468.09,6.15,0.11,0.02,-0.09
144,23,15,-8,40.6,2003,14038,9.55,16.08,2.78,608,6.41,468.09,6.15,0.11,0.02,-0.09
679,9,6,-3,40.12,2000,26210,10.17,5.54,1.71,109,4.69,1268.72,7.15,0,0,0
9,4,1,-3,28.84,2008,142982,11.87,4.66,1.54,1513,7.32,4819.745,8.48,0,0,0
128,195,61,-134,24.5,1982,12458,9.43,12.09,2.49,1198,7.09,1140.03,7.04,0.28,0.1,-0.18
129,195,61,-134,24.5,1982,32209,10.38,12.09,2.49,1198,7.09,1140.03,7.04,0.28,0.1,-0.18
