Pacode,PD.current,PD.future,PD_dis,Type,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
438,3488.86,3213.29,-275.57,Negative,32.4,1986,63000,11.05,8.49,2.14,1529,7.33,1151.95,7.05,0.56,0.9,0.34
210,527.71,138.7,-389.02,Negative,32.55,2003,45103,10.72,20.62,3.03,314,5.75,163.43,5.1,0,0,0
892,276.84,397.77,120.92,Positive,31.41,1993,63700,11.06,7.23,1.98,1000,6.91,4640.425,8.44,0.12,0,-0.12
236,252.99,397.77,144.78,Positive,31.82,2002,21491,9.98,26.68,3.28,27,3.3,2.64,0.97,0,0,0
437,3705.6,2104.41,-1601.19,Negative,32.08,1994,44400,10.7,5.37,1.68,2471,7.81,2030.37,7.62,0.51,0.97,0.46
1028,5863.89,6450.51,586.62,Positive,31.89,1979,136017,11.82,8.44,2.13,2036,7.62,1693.095,7.43,0.77,0.95,0.18
211,3523.39,2766,-757.4,Negative,32.07,2004,36892,10.52,12.03,2.49,1242,7.12,787.835,6.67,0.55,0.47,-0.08
799,1090.57,264.27,-826.3,Negative,28.59,1988,3400000,15.04,4.07,1.4,6287,8.75,4935.94,8.5,0,0,0
336,523.16,138.7,-384.46,Negative,30.65,2008,89541,11.4,4.98,1.61,1492,7.31,5019.79,8.52,0.08,0,-0.08
1030,4077.98,1488.86,-2589.12,Negative,31.88,1985,19550,9.88,6.35,1.85,2129,7.66,2532.89,7.84,0.55,0.82,0.27
328,2178.71,1429.19,-749.52,Negative,31.92,2001,27900,10.24,14.14,2.65,867,6.77,693.56,6.54,0.91,0.41,-0.5
486,5493.91,6068.42,574.5,Positive,32.03,2001,28103,10.24,6.45,1.86,1963,7.58,1828.5,7.51,0.38,0.98,0.6
1032,1133.85,884.83,-249.02,Negative,31.3,1998,141474,11.86,9.16,2.21,2339,7.76,4165.23,8.33,0.47,0.02,-0.45
1031,4352.4,3602.53,-749.87,Negative,31.55,1999,63700,11.06,9.45,2.25,4106,8.32,2161.79,7.68,0,0.76,0.76
720,5455.15,5342.66,-112.49,Stable,31.75,1987,47200,10.76,7.01,1.95,1723,7.45,1174.2,7.07,0.79,0.93,0.14
155,3114.52,2235.13,-879.39,Negative,31.64,2004,109930,11.61,12.26,2.51,859,6.76,246.015,5.51,0.48,0.27,-0.21
630,617.4,641.17,23.78,Stable,31.04,1995,140600,11.85,6.35,1.85,1797,7.49,4168.51,8.34,0.07,0.01,-0.06
895,709.18,573.3,-135.88,Stable,31.16,1987,22300,10.01,9.8,2.28,1616,7.39,4119.98,8.32,0.15,0.04,-0.11
1160,3216.16,2505.19,-710.97,Negative,31.42,1995,160732,11.99,5.34,1.68,3700,8.22,3643.13,8.2,0.65,0.69,0.04
325,2011.75,665.76,-1345.98,Negative,31.57,2003,12162,9.41,14.72,2.69,540,6.29,508.9,6.23,0.7,0.08,-0.62
628,2726.96,1627.24,-1099.72,Negative,31.65,1996,48200,10.78,13.02,2.57,854,6.75,729.77,6.59,0.76,0.48,-0.28
719,5664.76,6253.42,588.67,Positive,31.62,1988,30500,10.33,8.13,2.1,1832,7.51,1519.82,7.33,0.88,0.94,0.06
1045,640.28,266.63,-373.66,Negative,29.36,1993,614350,13.33,9.79,2.28,1860,7.53,4317.46,8.37,0,0,0
1067,625.09,1272.23,647.15,Positive,30.84,1995,143683,11.88,7.63,2.03,2267,7.73,4494.645,8.41,0.11,0,-0.11
894,5135.31,3955.84,-1179.47,Negative,30.92,1963,2.00E+05,12.21,6.46,1.87,4396,8.39,3609.47,8.19,0.79,0.68,-0.11
1034,3961.85,2893,-1068.86,Negative,31.3,2000,55678,10.93,5.85,1.77,4160,8.33,2879.45,7.97,0.54,0.74,0.2
893,4054.51,3547.39,-507.12,Negative,31.19,1993,34000,10.43,11.1,2.41,3789,8.24,1978.335,7.59,0,0.66,0.66
1033,3631.79,2573.82,-1057.97,Negative,31.34,1996,30150,10.31,9.43,2.24,3460,8.15,2770.84,7.93,0,0.91,0.91
704,3509.63,1158.77,-2350.86,Negative,31.42,1999,26260,10.18,11.89,2.48,873,6.77,738.42,6.6,0.41,0.55,0.14
583,5617.01,3730.35,-1886.67,Negative,31.48,2000,22400,10.02,9.64,2.27,1823,7.51,1039.12,6.95,0.67,0.7,0.03
891,6505.89,7207.49,701.6,Positive,31.46,1986,70467,11.16,7.37,2,2664,7.89,1821.11,7.51,0.76,0.98,0.22
1035,4342.92,4165.46,-177.46,Stable,31.3,1982,28914,10.27,9.79,2.28,1436,7.27,641.795,6.46,0.68,0.81,0.13
1136,1602.85,2940.06,1337.21,Positive,29.47,2003,2014981,14.52,3.34,1.21,3727,8.22,4311.13,8.37,0.43,0.02,-0.41
1041,4423.05,4323.6,-99.45,Stable,29.58,1985,961800,13.78,2.07,0.73,5957,8.69,3642.12,8.2,0.23,0.27,0.04
765,4803.31,897.67,-3905.64,Negative,31.29,2000,35300,10.47,13.28,2.59,1965,7.58,743.58,6.61,0.55,0.32,-0.23
1038,830.47,707.14,-123.33,Stable,30.61,2000,171065,12.05,8.33,2.12,2031,7.62,4197.4,8.34,0.27,0.03,-0.24
581,3171.03,537.47,-2633.56,Negative,31.16,2000,23452,10.06,14.88,2.7,971,6.88,555.12,6.32,0.18,0.17,-0.01
70,3745.99,3507.44,-238.55,Negative,30.67,1982,43333,10.68,13.17,2.58,965,6.87,268.08,5.59,0.63,0.59,-0.04
649,1276.53,712.17,-564.35,Negative,30.64,1998,62100,11.04,5.76,1.75,2675,7.89,4063.185,8.31,0.39,0.39,0
897,4510.19,3078.96,-1431.23,Negative,30.56,1975,40000,10.6,6.85,1.92,3450,8.15,2854.605,7.96,0.2,0.87,0.67
1037,4623.22,3470.89,-1152.33,Negative,30.61,1993,31800,10.37,6.95,1.94,3978,8.29,2465.445,7.81,0.01,0.95,0.94
7,255.82,617.46,361.64,Positive,30.91,2009,33605,10.42,16.38,2.8,216,5.38,369.83,5.91,0.11,0,-0.11
768,4869.33,1922.22,-2947.11,Negative,30.93,1998,26500,10.18,13.42,2.6,1594,7.37,731.65,6.6,0.6,0.31,-0.29
767,5302.11,4678.73,-623.38,Negative,30.96,2000,37052,10.52,11.74,2.46,1681,7.43,855.81,6.75,0.53,0.41,-0.12
212,2006.2,1307.33,-698.87,Negative,30.78,2003,16048,9.68,17.18,2.84,519,6.25,158.38,5.06,0.54,0.15,-0.39
458,1274.41,760.21,-514.21,Negative,30.61,1995,120000,11.7,16.29,2.79,706,6.56,20.59,3.02,0.58,0.06,-0.52
31,3996.12,3912.32,-83.81,Stable,30.48,1985,50000,10.82,10.28,2.33,1381,7.23,403.04,6,0.25,0.81,0.56
1087,5723.14,3717.45,-2005.69,Negative,30.22,1963,23437,10.06,6.64,1.89,4127,8.33,2485.02,7.82,0.64,0.91,0.27
1115,4463.99,5172.05,708.05,Positive,30.2,1979,12252,9.41,9.26,2.23,1285,7.16,775.94,6.65,0.67,0.84,0.17
1165,3380.46,1612.67,-1767.79,Negative,30.19,1985,11252,9.33,11.55,2.45,534,6.28,211.13,5.35,0.5,0.71,0.21
902,3275.25,3010.81,-264.44,Negative,29.45,1993,185300,12.13,7.97,2.08,3045,8.02,4076.61,8.31,0.25,0.02,-0.23
1042,726.96,1110.99,384.03,Positive,29.58,1995,459161,13.04,9.47,2.25,1468,7.29,4508.935,8.41,0.28,0,-0.28
56,604.64,657.61,52.97,Stable,30.05,1995,22897,10.04,8.04,2.08,1160,7.06,4144.48,8.33,0.62,0.07,-0.55
1109,3719.9,2618.28,-1101.62,Negative,30.08,1982,14821,9.6,8.04,2.08,1283,7.16,319,5.77,0.9,0.83,-0.07
1043,4082.07,2976.36,-1105.71,Negative,29.56,1996,406917,12.92,7.24,1.98,5333,8.58,4163.22,8.33,0.82,0.26,-0.56
898,7121.94,6427.6,-694.35,Negative,30.14,1985,40964,10.62,8.82,2.18,1643,7.4,1237.76,7.12,0.29,0.95,0.66
