PAcode,current_SR,future_SR,SR_dis,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
671,16,5,-11,42.41,1998,42500,10.66,10.49,2.35,214,5.37,1387.1,7.23,0.21,0,-0.21
378,15,16,1,42.06,1996,86800,11.37,15.09,2.71,617,6.42,655.075,6.48,0,0,0
1131,15,6,-9,40.79,1987,8.00E+05,13.59,2.54,0.93,2083,7.64,1750.51,7.47,0,0,0
792,8,3,-5,41.89,1998,52700,10.87,0.04,-3.22,215,5.37,1577.05,7.36,0,0,0
489,22,14,-8,42.27,2002,32620,10.39,13,2.56,358,5.88,1468.86,7.29,0.02,0,-0.02
1013,8,3,-5,42.11,1985,68000,11.13,2.63,0.97,149,5,900.645,6.8,0,0,0
488,20,16,-4,41.94,2002,50600,10.83,14.13,2.65,671,6.51,1154.755,7.05,0.07,0,-0.07
831,9,10,1,41.31,1981,19183,9.86,8.32,2.12,909,6.81,639.24,6.46,0.81,0.48,-0.33
850,9,7,-2,36.63,1984,1500000,14.22,1.8,0.59,5141,8.55,4717.265,8.46,0,0,0
487,21,18,-3,41.66,2002,40038,10.6,12.03,2.49,804,6.69,1049.28,6.96,0.5,0.01,-0.49
1014,21,13,-8,41.47,1996,27638,10.23,11.64,2.45,979,6.89,1195.38,7.09,0,0.35,0.35
832,7,6,-1,41.06,1985,80000,11.29,18.9,2.94,13,2.56,3.715,1.31,0,0,0
1158,6,4,-2,40.09,1992,660000,13.4,2.85,1.05,1459,7.29,1048.76,6.96,0,0,0
80,11,2,-9,40.51,2002,324200,12.69,3.67,1.3,485,6.18,1282.675,7.16,0,0,0
683,4,3,-1,41.5,2001,49650,10.81,8.86,2.18,164,5.1,1578,7.36,0,0,0
563,11,6,-5,41.08,2003,83160,11.33,8.16,2.1,810,6.7,1394.37,7.24,0,0,0
1138,13,11,-2,40.87,1996,388577,12.87,13.11,2.57,1226,7.11,1581.155,7.37,0,0,0
146,20,15,-5,40.93,2007,17680,9.78,15.48,2.74,604,6.4,639.42,6.46,0.28,0.03,-0.25
147,14,14,0,41,2003,45225,10.72,14.15,2.65,565,6.34,641.39,6.46,0.01,0.02,0.01
568,11,15,4,40.82,2001,17440,9.77,15.49,2.74,823,6.71,364.87,5.9,0.02,0.05,0.03
1125,6,1,-5,39.85,1994,88178,11.39,4.9,1.59,657,6.49,1330.65,7.19,0,0,0
79,6,0,-6,40.13,2001,39840,10.59,8.64,2.16,366,5.9,1171.935,7.07,0,0,0
1189,10,6,-4,40.56,1999,717060,13.48,0.02,-3.91,459,6.13,1313.98,7.18,0,0,0
1183,8,2,-6,40.98,1993,29300,10.29,8.17,2.1,41,3.71,1021.8,6.93,0,0.05,0.05
710,13,16,3,40.74,2001,69912,11.15,13.61,2.61,665,6.5,527.92,6.27,0,0.01,0.01
1147,11,6,-5,40.72,1995,123600,11.72,5.73,1.75,901,6.8,1407.77,7.25,0,0,0
701,6,4,-2,40.84,1996,36800,10.51,15.87,2.76,425,6.05,1342.48,7.2,0,0,0
1159,11,5,-6,39.47,1982,396000,12.89,1.31,0.27,4182,8.34,2564.21,7.85,0,0,0
1153,10,6,-4,39.57,2001,480000,13.08,1.11,0.1,3549,8.17,2948.27,7.99,0,0,0
540,11,1,-10,39.91,1996,68250,11.13,5.58,1.72,1774,7.48,2020.905,7.61,0,0,0
524,13,6,-7,39.89,2002,152900,11.94,4.9,1.59,2916,7.98,1975.47,7.59,0,0,0
523,10,3,-7,40.12,2002,163400,12,7.13,1.96,227,5.42,1233.93,7.12,0,0,0
672,11,3,-8,40.7,2000,22700,10.03,19.76,2.98,882,6.78,1209.07,7.1,0,0,0
150,17,16,-1,40.43,2007,16088,9.69,16.14,2.78,1055,6.96,737.57,6.6,0.23,0.1,-0.13
1084,7,5,-2,39.46,1982,9640,9.17,2.54,0.93,2768,7.93,2522.085,7.83,0,0,0
1152,8,6,-2,39.13,1982,1360000,14.12,0.37,-0.99,3297,8.1,3887.205,8.27,0,0,0
1157,4,5,1,37.36,2001,3200000,14.98,0,#NUM!,5224,8.56,4099.045,8.32,0,0,0
1188,12,6,-6,39.7,1997,489011,13.1,0,#NUM!,509,6.23,1298.605,7.17,0,0,0
1132,10,6,-4,39.7,1986,474500,13.07,5.11,1.63,1091,6.99,1417.7,7.26,0,0,0
753,7,5,-2,40.12,2003,85750,11.36,5.38,1.68,180,5.19,1237.615,7.12,0,0,0
535,16,7,-9,39.89,2002,69600,11.15,21.43,3.06,595,6.39,1027.77,6.94,0.02,0,-0.02
837,20,11,-9,39.95,1983,21833,9.99,9.54,2.26,1922,7.56,1636.16,7.4,0.44,0.22,-0.22
791,11,4,-7,39.64,1999,90570,11.41,2.5,0.92,292,5.68,1290.355,7.16,0,0,0
1005,5,3,-2,36.68,1983,4500000,15.32,0,#NUM!,3117,8.04,4866.565,8.49,0,0,0
1088,17,8,-9,39.04,1992,67710,11.12,4.71,1.55,2365,7.77,1448.23,7.28,0,0,0
562,8,5,-3,39.24,2003,144800,11.88,4.91,1.59,303,5.71,1364.195,7.22,0,0,0
534,14,10,-4,39.37,2002,27426,10.22,13.18,2.58,1211,7.1,1703.84,7.44,0.01,0,-0.01
841,10,5,-5,38.77,1982,389900,12.87,5.74,1.75,367,5.91,1388.81,7.24,0,0,0
840,14,4,-10,38.93,1982,157800,11.97,11.45,2.44,2261,7.72,1909.67,7.55,0,0,0
1139,17,12,-5,39.2,2002,134700,11.81,12.22,2.5,952,6.86,1079.475,6.98,0.08,0,-0.08
265,8,6,-2,39.03,2003,38000,10.55,6.26,1.83,230,5.44,1414.85,7.25,0,0,0
300,9,3,-6,39.02,2005,18642,9.83,19.45,2.97,405,6,998.15,6.91,0,0,0
138,6,7,1,38.92,2002,31200,10.35,22,3.09,10,2.3,8.44,2.13,0,0.04,0.04
703,4,4,0,38.78,1999,34887,10.46,27.73,3.32,8,2.08,2.83,1.04,0,0.09,0.09
1006,5,5,0,34.13,1993,29800000,17.21,0,#NUM!,2247,7.72,5045.07,8.53,0,0,0
647,8,2,-6,38.84,1998,46410,10.75,5.36,1.68,201,5.3,1264.82,7.14,0,0,0
1155,5,2,-3,37.9,2005,934700,13.75,8.5,2.14,2424,7.79,3722.12,8.22,0.02,0,-0.02
844,5,2,-3,38.04,1987,230000,12.35,7.32,1.99,2823,7.95,3364.95,8.12,0,0,0
82,6,0,-6,38.5,2005,51070,10.84,15.94,2.77,1227,7.11,1736.48,7.46,0,0,0
1190,9,5,-4,38.31,2003,1006450,13.82,1,0,282,5.64,1365.9,7.22,0,0,0
843,17,9,-8,38.68,1980,21453,9.97,11.33,2.43,1397,7.24,1942.29,7.57,0,0.02,0.02
677,7,4,-3,38.51,2000,31250,10.35,8.33,2.12,140,4.94,1286.35,7.16,0,0,0
537,7,4,-3,38.45,2002,39800,10.59,21.94,3.09,374,5.92,843.57,6.74,0.07,0,-0.07
845,7,3,-4,38.14,1985,74800,11.22,16.44,2.8,351,5.86,1186.29,7.08,0,0,0
266,7,3,-4,38.18,2003,83246,11.33,7.13,1.96,259,5.56,1344.23,7.2,0,0,0
141,3,4,1,38.13,2005,16800,9.73,17.34,2.85,8,2.08,5.61,1.72,0,0,0
751,3,0,-3,38.1,2002,19500,9.88,14.37,2.67,41,3.71,1123.12,7.02,0,0,0
555,17,10,-7,38.15,2002,24900,10.12,11.26,2.42,872,6.77,1425.33,7.26,0.02,0,-0.02
297,8,14,6,37.92,1996,173100,12.06,22.71,3.12,296,5.69,87.26,4.47,0,0,0
1178,6,4,-2,37.31,2000,373400,12.83,3.22,1.17,1786,7.49,3133.085,8.05,0,0,0
1177,6,1,-5,37.14,2000,41100,10.62,3.45,1.24,92,4.52,2818.34,7.94,0,0.01,0.01
278,6,1,-5,37.78,1998,84000,11.34,8.27,2.11,360,5.89,1437.85,7.27,0,0,0
847,17,8,-9,37.85,1980,10466,9.26,11.48,2.44,1356,7.21,1957.97,7.58,0.03,0.06,0.03
1062,3,2,-1,35.39,1995,4500000,15.32,0,#NUM!,2438,7.8,4895.7,8.5,0,0,0
852,5,2,-3,36.92,1975,495200,13.11,4.81,1.57,1322,7.19,3218.18,8.08,0.01,0,-0.01
530,9,6,-3,37.64,2002,15300,9.64,21.08,3.05,533,6.28,921.83,6.83,0.02,0,-0.02
715,14,14,0,37.26,1999,17900,9.79,18.16,2.9,292,5.68,147.59,4.99,0.01,0,-0.01
279,7,4,-3,37.02,2005,198300,12.2,16.69,2.81,1938,7.57,2885.7,7.97,0.25,0,-0.25
853,5,0,-5,37.12,1980,10875,9.29,10.08,2.31,1231,7.12,2629.09,7.87,0,0,0
539,21,16,-5,37.33,2002,35352,10.47,14.18,2.65,721,6.58,1485.09,7.3,0.03,0.26,0.23
280,6,3,-3,36.3,2005,118000,11.68,3.76,1.32,1388,7.24,3414.6,8.14,0,0,0
1149,6,5,-1,36.68,2001,47930,10.78,13.67,2.62,1610,7.38,2501.06,7.82,0,0,0
538,23,19,-4,36.95,2002,39047,10.57,12.14,2.5,1310,7.18,1139.84,7.04,0.02,0.2,0.18
553,18,20,2,36.67,2002,32700,10.4,12.26,2.51,1115,7.02,1341.63,7.2,0,0.31,0.31
149,5,3,-2,36.7,2006,21600,9.98,29.58,3.39,295,5.69,243.83,5.5,0,0,0
1134,20,18,-2,33.98,2000,15230000,16.54,3.26,1.18,3690,8.21,4565.41,8.43,0,0,0
855,17,18,1,36.55,1993,14350,9.57,12.28,2.51,771,6.65,1415.8,7.26,0.36,0.15,-0.21
856,13,16,3,36.2,2000,44855,10.71,27.62,3.32,928,6.83,170.38,5.14,0,0.02,0.02
308,13,9,-4,36.28,2009,20317,9.92,13.52,2.6,430,6.06,1154.47,7.05,0.05,0.02,-0.03
857,15,8,-7,36.03,1999,18000,9.8,15.72,2.75,857,6.75,258.54,5.56,0,0.03,0.03
859,9,3,-6,35.73,1980,17290,9.76,13.62,2.61,2575,7.85,2784.985,7.93,0.01,0,-0.01
1133,9,10,1,35.8,1986,333000,12.72,16.42,2.8,2023,7.61,2291.84,7.74,0,0,0
81,13,25,12,35.82,2005,242106,12.4,15.47,2.74,560,6.33,1255.06,7.13,0.26,0,-0.26
8,19,20,1,35.94,2001,81753,11.31,8.19,2.1,821,6.71,1312.93,7.18,0,0.15,0.15
84,11,6,-5,35.6,2005,84700,11.35,15.81,2.76,722,6.58,2098.775,7.65,0,0,0
858,14,17,3,35.62,1982,67800,11.12,15.35,2.73,1097,7,2210.67,7.7,0,0.02,0.02
494,15,20,5,35.89,1999,40621,10.61,10.34,2.34,538,6.29,1424.525,7.26,0.03,0.29,0.26
1089,10,16,6,35.51,1982,16283,9.7,14.44,2.67,914,6.82,1842.315,7.52,0,0.02,0.02
1185,7,5,-2,31.35,2000,560000,13.24,2.24,0.81,2428,7.79,4786.135,8.47,0,0,0
559,16,24,8,35.5,2004,35563,10.48,12.39,2.52,674,6.51,1337.9,7.2,0,0.25,0.25
309,22,12,-10,35.48,2003,60439,11.01,18.2,2.9,961,6.87,659.785,6.49,0,0.01,0.01
543,20,16,-4,35.55,2002,23100,10.05,17.77,2.88,1092,7,821.05,6.71,0,0.12,0.12
549,23,34,11,35.38,2002,93800,11.45,15.28,2.73,905,6.81,821.23,6.71,0,0.04,0.04
748,7,2,-5,35.55,1990,40000,10.6,21.24,3.06,665,6.5,114.44,4.74,0,0,0
319,10,14,4,35.4,2004,25871,10.16,13.54,2.61,581,6.36,1230.98,7.12,0,0.01,0.01
861,40,43,3,35.39,1983,24800,10.12,11.49,2.44,1765,7.48,1160.985,7.06,0.16,0.47,0.31
862,5,5,0,34.85,1994,127500,11.76,15.65,2.75,40,3.69,33.13,3.5,0,0.09,0.09
335,0,1,1,32.3,2008,41173,10.63,1.19,0.17,778,6.66,4604.67,8.43,0,0,0
1018,12,13,1,35.04,1982,12551,9.44,12.13,2.5,1754,7.47,2809.96,7.94,0.09,0.01,-0.08
749,6,2,-4,35.2,1996,57348,10.96,15.27,2.73,423,6.05,525.79,6.26,0,0,0
1017,16,7,-9,35.19,1982,56600,10.94,21.58,3.07,881,6.78,364.23,5.9,0,0.03,0.03
1123,44,44,0,34.8,2001,6559,8.79,11.83,2.47,1654,7.41,1813.29,7.5,0.27,0.51,0.24
544,33,29,-4,35.04,2002,23900,10.08,10.5,2.35,1054,6.96,1010.95,6.92,0.2,0.43,0.23
156,3,3,0,35,1988,22780,10.03,21.99,3.09,16,2.77,72.34,4.28,0,0,0
1126,21,31,10,34.41,2005,287759,12.57,8.76,2.17,2024,7.61,3318.275,8.11,0.06,0.02,-0.04
384,18,5,-13,34.83,1995,68000,11.13,19.14,2.95,610,6.41,606.44,6.41,0,0,0
1120,9,9,0,33.48,1983,453300,13.02,18.27,2.91,14,2.64,1.02,0.02,0,0.03,0.03
1063,11,16,5,34.3,1982,247431,12.42,11.34,2.43,1244,7.13,3613.64,8.19,0.45,0,-0.45
525,14,24,10,34.41,2002,64000,11.07,15.94,2.77,990,6.9,2624.275,7.87,0.17,0,-0.17
1065,6,4,-2,33.62,1997,669800,13.41,6.96,1.94,1100,7,4560.76,8.43,0,0,0
85,2,5,3,34,2005,27416,10.22,11.61,2.45,882,6.78,3658.44,8.2,0.12,0,-0.12
866,15,19,4,34.07,1965,20000,9.9,8.54,2.14,1753,7.47,3172.89,8.06,0.4,0.06,-0.34
78,22,32,10,34.08,2004,55275,10.92,8.13,2.1,2212,7.7,3154.815,8.06,0.43,0.09,-0.34
77,40,58,18,33.98,2004,135536,11.82,8.15,2.1,2625,7.87,2882.82,7.97,0.33,0.2,-0.13
1174,4,4,0,30.69,2008,97499,11.49,1.74,0.55,2042,7.62,4631.55,8.44,0,0.01,0.01
1064,16,17,1,33.68,1995,375000,12.83,11.05,2.4,1094,7,3516.52,8.17,0.08,0,-0.08
1019,17,23,6,33.72,1994,166571,12.02,10.85,2.38,301,5.71,3453.44,8.15,0.6,0,-0.6
1029,2,1,-1,31.42,1993,2032380,14.52,2.21,0.79,1824,7.51,4691.03,8.45,0,0,0
89,34,43,9,33.78,2005,114361,11.65,11.74,2.46,2875,7.96,2457.16,7.81,0.06,0.3,0.24
556,55,45,-10,33.93,2003,17500,9.77,12.87,2.55,1144,7.04,1363.43,7.22,0.9,0.35,-0.55
868,36,63,27,33.96,1965,56325,10.94,5.22,1.65,2241,7.71,2405.995,7.79,0.81,0.97,0.16
1171,74,67,-7,33.83,1982,184350,12.12,12.83,2.55,1059,6.97,1009.725,6.92,0.69,0.42,-0.27
76,49,37,-12,33.73,2005,52441,10.87,15.37,2.73,888,6.79,1289.12,7.16,0.76,0.02,-0.74
872,50,48,-2,33.67,1982,31937,10.37,11.86,2.47,1722,7.45,1324.475,7.19,0.85,0.37,-0.48
