PAcode,current_SR,future_SR,SR_dis,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
692,17,17,0,53.31,2006,137600,11.83,2.49,0.91,511,6.24,567.27,6.34,0.68,0.48,-0.2
689,16,8,-8,53,2005,88850,11.39,2.49,0.91,310,5.74,351.29,5.86,0.93,0.15,-0.78
690,17,17,0,52.9,2006,68400,11.13,4.45,1.49,566,6.34,646.28,6.47,0.68,0.85,0.17
1119,17,13,-4,52.13,1982,60000,11,3.96,1.38,405,6,318.68,5.76,0.77,0.02,-0.75
195,18,19,1,52.36,2006,55074,10.92,5.17,1.64,591,6.38,504.76,6.22,0.91,0.41,-0.5
641,24,17,-7,52.27,1998,124527,11.73,2.14,0.76,870,6.77,665.58,6.5,0.85,0.98,0.13
693,19,13,-6,51.63,2005,105580,11.57,2.61,0.96,378,5.93,436.13,6.08,0.78,0.08,-0.7
1007,26,19,-7,51.62,1979,107348,11.58,2,0.69,687,6.53,999.35,6.91,0.69,0.94,0.25
800,26,20,-6,51.66,1984,167213,12.03,1.18,0.17,666,6.5,949.635,6.86,0.81,0.97,0.16
1008,23,18,-5,51.33,1999,229523,12.34,2.04,0.71,637,6.46,508.855,6.23,0.51,0.04,-0.47
758,26,17,-9,51.73,2003,102600,11.54,2.05,0.72,681,6.52,780.91,6.66,0.88,0.92,0.04
691,20,12,-8,50.62,2006,129000,11.77,2.17,0.77,331,5.8,451.02,6.11,0.31,0.02,-0.29
802,27,27,0,48.85,1980,250000,12.43,8.58,2.15,2712,7.91,2269.28,7.73,0.02,0,-0.02
13,24,10,-14,50.23,1997,126000,11.74,6.25,1.83,361,5.89,669.98,6.51,0.04,0,-0.04
801,7,1,-6,49.32,1982,45000,10.71,8.12,2.09,244,5.5,185.81,5.22,0.09,0,-0.09
393,1,1,0,48.22,1999,32000,10.37,6.58,1.88,11,2.4,40.5,3.7,0.13,0,-0.13
480,7,5,-2,48.69,1999,43800,10.69,7.86,2.06,300,5.7,391.74,5.97,0.9,0.42,-0.48
1009,1,1,0,47.77,1994,198100,12.2,5.71,1.74,19,2.94,45.38,3.82,0.1,0,-0.1
1124,8,5,-3,48.38,2006,211600,12.26,3.07,1.12,245,5.5,442.66,6.09,0.56,0.27,-0.29
339,27,27,0,47.85,2005,99040,11.5,10.64,2.36,2252,7.72,1488.31,7.31,0,0,0
675,19,5,-14,49.2,2001,44700,10.71,12.44,2.52,157,5.06,653.91,6.48,0.03,0,-0.03
804,14,3,-11,48.67,1980,100800,11.52,8.87,2.18,253,5.53,328.49,5.79,0.15,0,-0.15
204,8,8,0,48.23,2004,112000,11.63,10.13,2.32,445,6.1,394.96,5.98,0.94,0.47,-0.47
805,1,1,0,47.75,1988,21835,9.99,5.54,1.71,7,1.95,52.2,3.96,0.07,0,-0.07
572,1,1,0,47.69,2001,39700,10.59,6.62,1.89,8,2.08,52.13,3.95,0.04,0,-0.04
1156,29,30,1,47.37,2001,1130000,13.94,5.95,1.78,2445,7.8,2534.94,7.84,0.02,0,-0.02
733,7,4,-3,48.17,2005,60700,11.01,7.17,1.97,250,5.52,439.26,6.09,0.9,0.64,-0.26
482,27,22,-5,47.74,1986,56700,10.95,7.64,2.03,1493,7.31,1378.95,7.23,0,0,0
803,12,11,-1,48.67,1986,740000,13.51,4.1,1.41,322,5.77,564.46,6.34,0,0,0
160,3,0,-3,48.28,2006,36500,10.51,11.11,2.41,109,4.69,294.52,5.69,0.01,0,-0.01
695,7,4,-3,48.04,2004,67000,11.11,8.41,2.13,205,5.32,328.29,5.79,0.84,0.24,-0.6
652,1,2,1,47.22,1998,160600,11.99,7.04,1.95,261,5.56,58.62,4.07,0.03,0,-0.03
1135,16,8,-8,48.54,1997,346800,12.76,6.89,1.93,174,5.16,680.62,6.52,0,0,0
673,25,13,-12,48.62,1998,125564,11.74,4.2,1.44,482,6.18,895.345,6.8,0.06,0,-0.06
202,7,4,-3,47.73,2009,78864,11.28,14.37,2.67,659,6.49,342.76,5.84,0.71,0.37,-0.34
163,1,1,0,47.25,2008,26336,10.18,16.34,2.79,35,3.56,59.92,4.09,0,0,0
189,1,2,1,46.8,2004,72604,11.19,8.01,2.08,712,6.57,126.27,4.84,0.39,0.1,-0.29
207,2,0,-2,47.88,2007,61385,11.02,17.78,2.88,93,4.53,210.01,5.35,0,0,0
168,1,1,0,47.33,2007,55490,10.92,20.14,3,228,5.43,155.21,5.04,0.07,0,-0.07
164,2,0,-2,47.82,2006,55423,10.92,18.88,2.94,27,3.3,165.14,5.11,0.02,0,-0.02
158,0,0,0,47.6,2011,19460,9.88,19.32,2.96,101,4.62,262.79,5.57,0,0,0
174,2,1,-1,47.02,2004,26200,10.17,11.78,2.47,40,3.69,70.58,4.26,0,0,0
192,2,0,-2,47.25,2007,50025,10.82,19.36,2.96,101,4.62,202.315,5.31,0,0,0
806,8,4,-4,47.18,1980,12133,9.4,9.16,2.21,721,6.58,439.74,6.09,0.98,0.78,-0.2
809,3,1,-2,46.6,1990,23000,10.04,7.96,2.07,679,6.52,341.19,5.83,0.75,0.41,-0.34
364,1,3,2,46.28,1980,270000,12.51,7.39,2,492,6.2,109.195,4.69,0.06,0,-0.06
1010,11,7,-4,47.13,1987,210000,12.25,12.86,2.55,15,2.71,142.01,4.96,0.02,0,-0.02
188,2,0,-2,46.88,2008,21229,9.96,14.18,2.65,50,3.91,178.26,5.18,0.01,0,-0.01
159,1,3,2,46.32,2004,19244,9.86,12.74,2.54,292,5.68,137.33,4.92,0.03,0,-0.03
694,1,2,1,46.08,2005,31516,10.36,6.29,1.84,424,6.05,243.82,5.5,0.45,0.19,-0.26
495,7,9,2,44.88,2000,31400,10.35,10.38,2.34,1128,7.03,1302.52,7.17,0,0,0
496,8,5,-3,44.85,2000,267100,12.5,5.33,1.67,531,6.27,215.22,5.37,0,0,0
264,18,12,-6,47.18,1997,38567,10.56,8.23,2.11,536,6.28,1184.28,7.08,0.07,0.07,0
1081,4,4,0,44.72,1983,54700,10.91,6.78,1.91,331,5.8,303.62,5.72,0,0,0
820,12,9,-3,44.1,1983,35000,10.46,13.84,2.63,430,6.06,673.05,6.51,0,0,0
811,21,15,-6,44.9,1982,1733000,14.37,3.17,1.15,1080,6.98,701.08,6.55,0,0,0
754,22,7,-15,46.68,2003,75700,11.23,12.18,2.5,617,6.42,672.05,6.51,0.08,0.01,-0.07
812,1,3,2,45.26,1986,222488,12.31,11.21,2.42,53,3.97,68.375,4.23,0.01,0.01,0
1186,22,12,-10,46.34,2001,58515,10.98,12.99,2.56,445,6.1,403.51,6,0,0,0
379,10,7,-3,46.31,1998,94800,11.46,10.15,2.32,108,4.68,157.185,5.06,0,0,0
208,1,0,-1,46.07,2003,36700,10.51,19.07,2.95,53,3.97,147.2,4.99,0,0,0
810,6,8,2,45.9,1981,144000,11.88,11.94,2.48,37,3.61,131.94,4.88,0,0,0
1145,3,3,0,45.08,1989,26570,10.19,7.61,2.03,605,6.41,319.91,5.77,0.5,0.22,-0.28
1137,15,7,-8,45.8,2004,612650,13.33,6.31,1.84,398,5.99,930.18,6.84,0,0,0
209,2,4,2,45.52,2008,57870,10.97,14.97,2.71,45,3.81,129.45,4.86,0,0,0
190,1,0,-1,45.37,2009,17179,9.75,22.07,3.09,26,3.26,173.02,5.15,0,0,0
1011,27,20,-7,43.39,1983,31217,10.35,8.49,2.14,1733,7.46,1624.27,7.39,0.17,0,-0.17
1118,8,8,0,45.65,1995,47200,10.76,6.6,1.89,162,5.09,863.605,6.76,0,0,0
757,14,12,-2,45.58,1997,31442,10.36,14.35,2.66,280,5.63,443.05,6.09,0,0,0
1180,2,4,2,45.28,1986,63600,11.06,11.41,2.43,34,3.53,129.26,4.86,0,0,0
224,0,1,1,44.98,2009,61010,11.02,18.4,2.91,117,4.76,180.455,5.2,0,0,0
456,8,5,-3,44.6,1997,190000,12.15,8.49,2.14,823,6.71,466.355,6.14,0.44,0.27,-0.17
180,2,3,1,44.58,2011,71278,11.17,17.18,2.84,438,6.08,358.18,5.88,0.06,0.02,-0.04
755,18,14,-4,45.47,2001,61600,11.03,11.5,2.44,340,5.83,500.63,6.22,0,0,0
442,23,17,-6,43.24,1986,65300,11.09,4.09,1.41,2669,7.89,2622.34,7.87,0.17,0.01,-0.16
441,17,14,-3,43.97,1980,38100,10.55,9.76,2.28,2600,7.86,1497.65,7.31,0.08,0.01,-0.07
670,20,17,-3,45.22,1996,91300,11.42,9.45,2.25,590,6.38,994.75,6.9,0.08,0,-0.08
813,11,11,0,45,1981,105467,11.57,10.18,2.32,41,3.71,165.62,5.11,0,0,0
184,1,3,2,44.35,2006,20834,9.94,12.36,2.51,289,5.67,304.53,5.72,0,0,0
1127,6,6,0,44.07,2006,35648,10.48,5.72,1.74,528,6.27,663.58,6.5,0.88,0.77,-0.11
162,2,3,1,44.07,2007,18000,9.8,10.71,2.37,677,6.52,254.9,5.54,0.07,0.17,0.1
827,18,18,0,42.12,1980,237637,12.38,4.01,1.39,4123,8.32,4078.84,8.31,0,0,0
1082,21,17,-4,42.8,1980,1.00E+05,11.51,6.19,1.82,1572,7.36,2699.88,7.9,0,0,0
440,13,6,-7,44.09,1986,38600,10.56,10.9,2.39,184,5.21,818.91,6.71,0,0,0
267,17,10,-7,45.05,1999,38882,10.57,11.88,2.47,443,6.09,274.65,5.62,0,0,0
814,11,10,-1,44.88,1985,126990,11.75,9.67,2.27,45,3.81,198.295,5.29,0,0,0
232,5,11,6,44.82,2002,62190,11.04,11.6,2.45,22,3.09,146.34,4.99,0,0,0
819,6,3,-3,44.01,1980,126000,11.74,6.95,1.94,627,6.44,442.3,6.09,0.49,0.27,-0.22
680,19,15,-4,45,1997,106284,11.57,7.37,2,466,6.14,1126.58,7.03,0.01,0,-0.01
816,6,6,0,44.69,1986,23800,10.08,10.03,2.31,34,3.53,145.22,4.98,0,0,0
231,0,2,2,44.43,2004,24915,10.12,19.6,2.98,73,4.29,195.08,5.27,0,0,0
570,9,4,-5,44.01,2000,23500,10.06,6.99,1.94,911,6.81,718.42,6.58,0.55,0.94,0.39
674,13,10,-3,44.67,1998,98900,11.5,7.82,2.06,244,5.5,1088.18,6.99,0.06,0,-0.06
676,13,10,-3,44.49,2000,52823,10.87,10.41,2.34,400,5.99,535.04,6.28,0,0,0
21,5,3,-2,43.73,1991,53940,10.9,8.47,2.14,696,6.55,539.85,6.29,0.74,0.56,-0.18
817,16,12,-4,44.18,1985,1078600,13.89,9.63,2.26,534,6.28,1059.77,6.97,0,0,0
786,15,13,-2,44.38,1998,136800,11.83,12.12,2.49,778,6.66,785.67,6.67,0,0,0
269,5,6,1,44.13,2001,33823,10.43,13.02,2.57,24,3.18,145.4,4.98,0,0,0
233,4,5,1,43.32,2002,42756,10.66,11.82,2.47,537,6.29,355.32,5.87,0.94,0.18,-0.76
1148,3,3,0,42.93,2001,108700,11.6,8.36,2.12,969,6.88,173.08,5.15,0,0.16,0.16
383,15,17,2,44.22,1997,100400,11.52,10.32,2.33,978,6.89,1168.205,7.06,0,0.01,0.01
682,14,9,-5,43.98,1997,120000,11.7,12.83,2.55,631,6.45,583.365,6.37,0,0,0
1122,8,7,-1,42.96,1990,115253,11.65,7.7,2.04,587,6.38,445.64,6.1,0.93,0.32,-0.61
380,8,6,-2,42.98,1996,77300,11.26,8.98,2.19,814,6.7,491.8,6.2,0.49,0.39,-0.1
263,7,7,0,44.02,2007,191164,12.16,8,2.08,326,5.79,1220.09,7.11,0,0,0
1080,17,10,-7,40.45,1986,7800000,15.87,1.25,0.22,4692,8.45,1266.01,7.14,0,0,0
338,3,2,-1,39.15,2005,125600,11.74,12.26,2.51,1046,6.95,1341.41,7.2,0,0,0
830,7,2,-5,41.17,1983,395420,12.89,2.9,1.06,41,3.71,916.88,6.82,0,0,0
646,6,6,0,43.7,1996,32000,10.37,12.42,2.52,68,4.22,940.5,6.85,0,0,0
823,16,9,-7,43.27,1987,119413,11.69,7.01,1.95,180,5.19,1267.705,7.14,0.01,0,-0.01
787,19,14,-5,43.33,2000,45438,10.72,8.65,2.16,790,6.67,1416.56,7.26,0,0,0
268,7,6,-1,42.95,2001,23471,10.06,15.13,2.72,51,3.93,253.39,5.53,0,0,0
826,10,9,-1,41.96,1960,196475,12.19,5.13,1.64,1853,7.52,1177.58,7.07,0,0.98,0.98
825,6,6,0,42.36,1991,15061,9.62,7.64,2.03,776,6.65,659.17,6.49,0.79,0.55,-0.24
229,5,8,3,42.28,1991,22230,10.01,13.18,2.58,654,6.48,459.57,6.13,0.93,0.12,-0.81
258,6,4,-2,42.3,2007,51205,10.84,21.47,3.07,256,5.55,85.35,4.45,0.49,0,-0.49
22,14,14,0,41.94,1990,530000,13.18,12.41,2.52,1230,7.11,192.265,5.26,0.58,0.01,-0.57
273,7,5,-2,42.75,2001,30595,10.33,10.69,2.37,76,4.33,1102.55,7.01,0,0,0
738,17,7,-10,42.57,1998,30089,10.31,10.19,2.32,261,5.56,1499.23,7.31,0.06,0,-0.06
