PAcode,PD.current,PD.future,PD_dis,Type,Latitude,Year,Area,Area_1,HP,HP_1,range,range_1,altitude,altitude_1,forest_current,forest_future,forest_dis
544,2579.33,2439.6,-139.73,Stable,35.04,2002,23900,10.08,10.5,2.35,1054,6.96,1010.95,6.92,0.2,0.43,0.23
156,386.96,397.77,10.8,Stable,35,1988,22780,10.03,21.99,3.09,16,2.77,72.34,4.28,0,0,0
1126,1542.28,2614.76,1072.48,Positive,34.41,2005,287759,12.57,8.76,2.17,2024,7.61,3318.275,8.11,0.06,0.02,-0.04
384,1430.82,563.91,-866.91,Negative,34.83,1995,68000,11.13,19.14,2.95,610,6.41,606.44,6.41,0,0,0
1120,983.12,961.66,-21.46,Stable,33.48,1983,453300,13.02,18.27,2.91,14,2.64,1.02,0.02,0,0.03,0.03
1063,978.76,1500.41,521.65,Positive,34.3,1982,247431,12.42,11.34,2.43,1244,7.13,3613.64,8.19,0.45,0,-0.45
525,1172.1,2230.74,1058.65,Positive,34.41,2002,64000,11.07,15.94,2.77,990,6.9,2624.275,7.87,0.17,0,-0.17
1065,424.04,533.63,109.58,Stable,33.62,1997,669800,13.41,6.96,1.94,1100,7,4560.76,8.43,0,0,0
85,264.09,470.8,206.71,Positive,34,2005,27416,10.22,11.61,2.45,882,6.78,3658.44,8.2,0.12,0,-0.12
866,1221.12,1732.12,511,Positive,34.07,1965,20000,9.9,8.54,2.14,1753,7.47,3172.89,8.06,0.4,0.06,-0.34
78,1631.64,2631.94,1000.3,Positive,34.08,2004,55275,10.92,8.13,2.1,2212,7.7,3154.815,8.06,0.43,0.09,-0.34
77,3066.28,4215.12,1148.84,Positive,33.98,2004,135536,11.82,8.15,2.1,2625,7.87,2882.82,7.97,0.33,0.2,-0.13
1174,533.63,406.15,-127.48,Stable,30.69,2008,97499,11.49,1.74,0.55,2042,7.62,4631.55,8.44,0,0.01,0.01
1064,1336.7,1428.75,92.05,Stable,33.68,1995,375000,12.83,11.05,2.4,1094,7,3516.52,8.17,0.08,0,-0.08
1019,1503.4,2013.74,510.34,Positive,33.72,1994,166571,12.02,10.85,2.38,301,5.71,3453.44,8.15,0.6,0,-0.6
1029,269.84,138.7,-131.14,Stable,31.42,1993,2032380,14.52,2.21,0.79,1824,7.51,4691.03,8.45,0,0,0
89,2611.64,3454.03,842.4,Positive,33.78,2005,114361,11.65,11.74,2.46,2875,7.96,2457.16,7.81,0.06,0.3,0.24
556,3822.99,3416.43,-406.56,Negative,33.93,2003,17500,9.77,12.87,2.55,1144,7.04,1363.43,7.22,0.9,0.35,-0.55
868,3051.48,4253.52,1202.04,Positive,33.96,1965,56325,10.94,5.22,1.65,2241,7.71,2405.995,7.79,0.81,0.97,0.16
1171,4953.45,4654.71,-298.74,Negative,33.83,1982,184350,12.12,12.83,2.55,1059,6.97,1009.725,6.92,0.69,0.42,-0.27
76,3677.87,2983.54,-694.33,Negative,33.73,2005,52441,10.87,15.37,2.73,888,6.79,1289.12,7.16,0.76,0.02,-0.74
872,3688.67,3548.73,-139.93,Stable,33.67,1982,31937,10.37,11.86,2.47,1722,7.45,1324.475,7.19,0.85,0.37,-0.48
1071,3505.28,4430.41,925.12,Positive,33.72,2002,13800,9.53,7.06,1.95,1458,7.28,1639.35,7.4,0.96,0.96,0
1072,3390.53,4538.22,1147.68,Positive,33.74,2004,13492,9.51,6.24,1.83,1606,7.38,1612.89,7.39,0.92,0.99,0.07
1075,2763.18,4411.53,1648.35,Positive,33.79,2006,21865,9.99,7.3,1.99,1513,7.32,2157.63,7.68,0.99,0.99,0
870,3691.27,5035.75,1344.48,Positive,33.79,1988,56393,10.94,5.63,1.73,1614,7.39,1888.825,7.54,0.85,1,0.15
871,5127.99,5208.35,80.36,Stable,33.75,1982,56024,10.93,10,2.3,1388,7.24,1205.635,7.09,0.5,0.74,0.24
1121,637.46,542.84,-94.62,Stable,33.35,1986,78000,11.26,17.48,2.86,4,1.39,0.77,-0.26,0,0,0
1066,830.05,786.95,-43.1,Stable,32.74,1995,155400,11.95,7.65,2.03,1903,7.55,4525.69,8.42,0.02,0,-0.02
322,3610.46,4051.85,441.38,Positive,33.27,2009,147844,11.9,7.11,1.96,2804,7.94,2524.64,7.83,0.13,0.54,0.41
529,3172.19,3211.45,39.26,Stable,33.43,2002,74944,11.22,15.28,2.73,1706,7.44,1800.65,7.5,0.27,0.03,-0.24
1021,4489.01,4713.54,224.54,Positive,33.62,1995,29906,10.31,6.77,1.91,1747,7.47,1523.65,7.33,0.92,0.96,0.04
1077,4762.72,4670.63,-92.09,Stable,33.64,2002,25500,10.15,5.44,1.69,1622,7.39,1493.51,7.31,0.67,0.88,0.21
1069,4286.85,5183.65,896.8,Positive,33.52,2006,15578,9.65,7.25,1.98,1643,7.4,1596.5,7.38,0.57,0.93,0.36
316,4598.08,4073.59,-524.49,Negative,33.53,2004,21685,9.98,13.3,2.59,1011,6.92,1021.93,6.93,0.4,0.36,-0.04
1,652.78,535.65,-117.12,Stable,33.19,2004,54000,10.9,14.66,2.69,30,3.4,11.74,2.46,0.06,0.02,-0.04
1176,268.65,138.7,-129.95,Stable,31.11,2010,94041,11.45,1.42,0.35,1007,6.91,4790.9,8.47,0,0,0
1022,1048.14,1585.98,537.83,Positive,32.81,2001,365870,12.81,10.7,2.37,1890,7.54,3929.065,8.28,0.05,0,-0.05
876,2956.73,3043.72,86.99,Stable,33.13,1978,72000,11.18,6.66,1.9,2825,7.95,3459.41,8.15,0.33,0.56,0.23
0,3988.02,4132.8,144.78,Positive,33.23,2006,91712,11.43,9.33,2.23,2625,7.87,2457.01,7.81,0.18,0.45,0.27
313,4001.9,2191.79,-1810.11,Negative,33.33,2006,56000,10.93,14.81,2.7,926,6.83,991.31,6.9,0.86,0.1,-0.76
874,4276.79,3620.49,-656.3,Negative,33.4,1983,17549,9.77,9.91,2.29,1213,7.1,996.33,6.9,0.7,0.51,-0.19
1169,4855.43,2581.39,-2274.04,Negative,33.19,1998,78015,11.26,14.01,2.64,1121,7.02,548.92,6.31,0.23,0.14,-0.09
65,768.54,504.75,-263.79,Negative,32.9,2006,21000,9.95,12.32,2.51,45,3.81,21.06,3.05,0.02,0.02,0
880,1988.66,1848.97,-139.69,Stable,32.94,1963,32297,10.38,6.03,1.8,2085,7.64,3832.4,8.25,0.31,0.23,-0.08
881,2688.54,3157.73,469.19,Positive,32.77,1983,55051,10.92,6.03,1.8,3267,8.09,3519.665,8.17,0.59,0.45,-0.14
879,5920.97,4967.01,-953.97,Negative,32.8,1963,213750,12.27,8.21,2.11,3289,8.1,1689.2,7.43,0.66,0.39,-0.27
326,644.46,474.01,-170.45,Stable,32.42,2002,82834,11.32,11.42,2.44,1208,7.1,3919.94,8.27,0.35,0,-0.35
622,2511.02,1004.41,-1506.61,Negative,32.8,2001,64027,11.07,15.23,2.72,330,5.8,198.995,5.29,0,0.01,0.01
1154,4403.19,3892.09,-511.1,Negative,32.43,1993,63615,11.06,5.42,1.69,3345,8.12,2952.44,7.99,0.67,0.85,0.18
