Species,Name,current,RCP2.6,RCP2.6_CSH,Type_1,RCP6.0,RCP6.0_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp69,Acer cappadocicum ssp. sinicum,1890,2929,0.55,LR,3128,0.66,LR,2128,0.13,LR
sp70,Acer caudatifolium,89,235,1.64,LR,182,1.04,LR,107,0.2,LR
sp71,Acer caudatum,1653,1577,-0.05,LR,1374,-0.17,LR,897,-0.46,VU
sp72,Acer ceriferum,1865,2060,0.1,LR,1903,0.02,LR,1330,-0.29,LR
sp73,Acer chienii,255,56,-0.78,EN,45,-0.82,CE,45,-0.82,CE
sp74,Acer chingii,639,632,-0.01,LR,417,-0.35,VU,177,-0.72,EN
sp75,Acer confertifolium,355,739,1.08,LR,655,0.85,LR,720,1.03,LR
sp76,Acer cordatum,2305,2636,0.14,LR,2142,-0.07,LR,1750,-0.24,LR
sp77,Acer coriaceifolium,1089,601,-0.45,VU,359,-0.67,EN,350,-0.68,EN
sp78,Acer crassum,126,17,-0.87,CE,0,-1,EX,176,0.4,LR
sp79,Acer davidii,4732,3971,-0.16,LR,3983,-0.16,LR,2753,-0.42,VU
sp80,Acer davidii ssp. grosseri,1965,1755,-0.11,LR,1446,-0.26,LR,946,-0.52,EN
sp81,Acer duplicatoserratum var. chinense,134,143,0.07,LR,53,-0.6,EN,27,-0.8,CE
sp82,Acer elegantulum,734,1278,0.74,LR,911,0.24,LR,553,-0.25,LR
sp83,Acer erianthum,1518,1297,-0.15,LR,1054,-0.31,VU,704,-0.54,EN
sp84,Acer fabri,2972,1310,-0.56,EN,726,-0.76,EN,1248,-0.58,EN
sp85,Acer flabellatum,2638,2125,-0.19,LR,1856,-0.3,VU,1546,-0.41,VU
sp86,Acer forrestii,989,1181,0.19,LR,1182,0.2,LR,1004,0.02,LR
sp87,Acer fulvescens,1063,857,-0.19,LR,886,-0.17,LR,538,-0.49,VU
sp88,Acer griseum,940,1113,0.18,LR,1012,0.08,LR,517,-0.45,VU
sp89,Acer henryi,3109,3376,0.09,LR,3242,0.04,LR,2442,-0.21,LR
sp90,Acer komarovii,740,1661,1.24,LR,1737,1.35,LR,1873,1.53,LR
sp91,Acer kungshanense,181,0,-1,EX,0,-1,EX,0,-1,EX
sp92,Acer kwangnanense,213,50,-0.77,EN,6,-0.97,CE,308,0.45,LR
sp93,Acer kweilinense,604,0,-1,EX,1,-1,EX,96,-0.84,CE
sp94,Acer laevigatum,2328,2053,-0.12,LR,1594,-0.32,VU,1328,-0.43,VU
sp95,Acer laevigatum var. salweenense,42,0,-1,EX,0,-1,EX,5,-0.88,CE
sp96,Acer laurinum,1229,2021,0.64,LR,2168,0.76,LR,1753,0.43,LR
sp97,Acer laxiflorum,876,1485,0.7,LR,1598,0.82,LR,1415,0.62,LR
sp98,Acer leipoense,121,558,3.61,LR,548,3.53,LR,334,1.76,LR
sp99,Acer linganense,450,735,0.63,LR,425,-0.06,LR,216,-0.52,EN
sp100,Acer longipes,1827,1256,-0.31,VU,512,-0.72,EN,343,-0.81,CE
sp101,Acer lucidum,1821,2276,0.25,LR,2168,0.19,LR,2091,0.15,LR
sp102,Acer lungshengense,157,38,-0.76,EN,8,-0.95,CE,15,-0.9,CE
sp103,Acer mandshuricum,774,1932,1.5,LR,1796,1.32,LR,1340,0.73,LR
sp104,Acer maximowiczii,1812,1807,0,LR,1784,-0.02,LR,1654,-0.09,LR
sp105,Acer metcalfii,1173,953,-0.19,LR,507,-0.57,EN,812,-0.31,VU
sp106,Acer miaoshanicum,43,0,-1,EX,0,-1,EX,2,-0.95,CE
sp107,Acer miaotaiense,558,1152,1.06,LR,893,0.6,LR,316,-0.43,VU
sp108,Acer morrisonense,41,48,0.17,LR,46,0.12,LR,40,-0.02,LR
